grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0071,8,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,31,8,2
CORP_0072,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0073,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0074,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0075,8,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,10,2,2
CORP_0076,42,1,DOMINIO_CORPORATIVO,BAJA,True,15,1,126,29,1
CORP_0077,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0078,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0079,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0080,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,12,3,3
CORP_0081,87,1,DOMINIO_CORPORATIVO,BAJA,True,43,1,797,87,2
CORP_0082,24,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,182,18,3
CORP_0083,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,4,1,1
CORP_0084,6,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,0,0,0
CORP_0085,18,1,DOMINIO_CORPORATIVO,BAJA,True,8,1,0,0,0
CORP_0086,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,6,1,1
CORP_0087,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0088,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0089,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0090,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0091,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,3,2,2
CORP_0092,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,1,1
CORP_0093,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,5,1,1
CORP_0094,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0095,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0096,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0097,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,16,3,2
CORP_0098,6,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0099,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0100,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0101,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0102,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,22,2,1
CORP_0103,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0104,3,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,27,2,1
CORP_0105,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0106,10,1,DOMINIO_CORPORATIVO,BAJA,True,5,1,33,5,1
CORP_0107,3,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0108,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0109,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0110,5,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,0,0,0
CORP_0111,7,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,26,5,3
CORP_0112,8,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,7,4,1
CORP_0113,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0114,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0115,8,1,DOMINIO_CORPORATIVO,BAJA,True,5,1,206,8,2
CORP_0116,28,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,23,5,2
CORP_0117,23,1,DOMINIO_CORPORATIVO,BAJA,True,11,1,22,4,1
CORP_0118,9,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,95,8,2
CORP_0119,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0120,3,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,12,4,2
CORP_0121,27,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,30,7,2
CORP_0122,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,2,2,2
